Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW03,OUT010,245.407222
FDD14,OUT046,3193.696124
FDV23,OUT017,1922.237838
DRI03,OUT045,2719.533338
FDN13,OUT035,1282.250904
FDF45,OUT027,1426.403262
FDU46,OUT035,1405.350666
FDB57,OUT049,3385.266758
FDV12,OUT049,2026.62862
FDQ58,OUT013,2277.788354
NCA18,OUT017,1557.033222
FDH52,OUT049,753.805444
FDM24,OUT018,2768.403058
NCP43,OUT027,4172.528652
NCO18,OUT019,495.468386
FDM32,OUT017,1161.308334
NCL07,OUT017,584.565742
FDK03,OUT013,4812.70201
FDP59,OUT017,1604.724476
FDQ24,OUT049,3801.065516
FDQ16,OUT018,1412.747704
FDU44,OUT013,2429.144668
FDH28,OUT010,95.003002
FDV28,OUT019,92.519568
FDM22,OUT045,909.709172
FDR56,OUT046,3056.714432
FDV39,OUT049,3025.688152
FDU37,OUT019,232.936788
FDQ11,OUT010,857.011102
FDX02,OUT045,4256.545954
NCS42,OUT018,1401.848558
FDY57,OUT027,2734.00783
FDB21,OUT049,3751.143832
FDE28,OUT017,3300.230782
FDQ55,OUT017,2495.711352
FDA48,OUT049,3649.556068
FDZ19,OUT045,2523.275472
NCC43,OUT045,3307.041916
NCV18,OUT046,1983.138564
NCA42,OUT018,3230.921002
FDY45,OUT046,3910.40985
NCC30,OUT045,2807.998184
FDM57,OUT013,1434.912186
FDL09,OUT010,462.418074
FDB09,OUT027,3868.66419
FDT44,OUT035,1766.340768
NCT06,OUT027,3732.015398
FDX26,OUT049,3704.24488
FDK32,OUT013,2583.27071
DRA12,OUT046,2246.762074
FDO46,OUT010,516.22803
FDE52,OUT013,1388.645744
NCH42,OUT045,3749.85218
FDV08,OUT035,695.641156
FDB47,OUT018,3123.274458
FDC28,OUT010,194.506812
FDD22,OUT046,1774.15726
FDS07,OUT027,4107.400096
DRI13,OUT045,3736.416336
FDG32,OUT018,3616.931868
FDU14,OUT017,4068.730432
FDD28,OUT019,148.293634
NCP41,OUT017,1564.037438
FDS08,OUT049,2454.00564
FDX47,OUT045,2077.901878
FDC53,OUT019,248.390006
FDQ19,OUT035,3096.462692
FDL14,OUT045,2278.20115
FDM33,OUT019,529.344290000001
FDA51,OUT045,1978.051852
FDZ27,OUT018,585.065092
FDT04,OUT046,627.057098
DRC13,OUT049,2227.387294
FDR16,OUT027,4988.513158
FDQ03,OUT027,6580.973598
FDE38,OUT035,2568.543214
DRH23,OUT027,2103.042486
FDT11,OUT019,673.450042
FDD09,OUT035,3152.050334
FDR40,OUT045,1455.83828
FDX07,OUT017,2989.435342
FDR07,OUT035,1632.554916
FDA51,OUT017,1880.059408
FDT59,OUT019,588.900100000001
FDF20,OUT017,3082.607394
FDR13,OUT045,2222.646798
FDY26,OUT049,4577.201892
FDW04,OUT017,1926.971676
FDK52,OUT017,4800.963956
FDN60,OUT049,3290.609972
FDM09,OUT019,423.102584
FDP46,OUT049,1393.958828
FDB50,OUT019,238.562798
NCQ29,OUT049,3582.510008
FDP16,OUT027,7659.802628
FDX33,OUT018,2123.895342
FDP07,OUT010,527.839582
FDN22,OUT046,4211.271554
FDF39,OUT049,4300.049326
FDS21,OUT017,892.664692
NCM42,OUT013,2029.15866
FDK50,OUT019,434.20147
DRF13,OUT027,3473.991266
FDH35,OUT018,1694.747294
FDP60,OUT018,1532.751496
DRJ49,OUT027,2654.464704
NCT42,OUT019,347.108172
FDE38,OUT049,2566.685632
FDI04,OUT049,3443.470994
NCH54,OUT045,2366.745892
FDT56,OUT049,876.445803999999
DRD15,OUT018,2835.34259
FDV58,OUT013,2733.069052
FDP21,OUT049,3570.738664
FDH05,OUT013,3946.476236
FDR10,OUT027,4670.846662
NCP06,OUT045,1869.013786
FDF33,OUT049,1614.445156
DRK37,OUT013,3603.302942
DRH49,OUT045,1010.731006
FDT58,OUT013,2734.553786
FDD41,OUT018,1432.954734
FDP40,OUT018,2029.32511
FDM51,OUT027,2471.91566
FDO45,OUT010,183.268108
FDW33,OUT010,216.78448
FDY24,OUT045,906.579912
FDB10,OUT010,586.263532
FDM40,OUT035,2200.375788
NCI06,OUT017,3571.797286
FDW12,OUT019,324.930374
FDX48,OUT027,3593.528998
NCW05,OUT027,2620.002896
FDX27,OUT017,1761.720116
DRM37,OUT045,3523.753158
FDA38,OUT045,3586.558072
FDR36,OUT046,683.204012
FDZ45,OUT046,3919.76434
FDG05,OUT017,2562.06498
FDK28,OUT013,5053.928008
FDV47,OUT045,1604.504762
FDN21,OUT045,2157.69135
FDP20,OUT027,2911.696534
FDI35,OUT045,3276.0689
DRY23,OUT013,604.819378000001
FDA56,OUT017,2079.72617
FDB09,OUT013,1515.26093
NCO26,OUT027,2632.093824
FDQ49,OUT018,2244.604882
FDI52,OUT027,2915.724624
FDZ44,OUT027,3071.828092
FDZ09,OUT018,2294.71299
FDY03,OUT049,2134.02216
NCG42,OUT017,2181.507016
DRI13,OUT027,6760.413356
FDQ32,OUT013,1853.407434
FDW16,OUT035,1246.197834
FDU27,OUT046,933.138674
FDR28,OUT010,375.424646
FDQ49,OUT010,344.291838
FDS37,OUT046,1916.43872
FDW26,OUT018,3333.207856
FDX12,OUT018,3072.274178
NCP06,OUT013,2534.048116
FDW45,OUT010,269.788818
NCN30,OUT049,1290.000816
FDN24,OUT049,953.618682
NCL41,OUT027,989.491986000001
FDR02,OUT019,351.828694
FDD09,OUT010,425.206512
FDS33,OUT010,174.632682
FDU22,OUT045,2123.70226
FDI53,OUT013,2425.762404
DRH01,OUT049,2667.674176
FDX32,OUT013,2221.861154
NCP30,OUT018,471.78588
FDB60,OUT045,2570.55393
FDB14,OUT049,1491.085732
NCP02,OUT035,730.91524
FDJ10,OUT017,1880.665286
FDG34,OUT046,1862.415708
NCB18,OUT017,1487.470438
FDM16,OUT049,1291.072754
FDW25,OUT018,1236.204176
FDB35,OUT010,218.269214
DRN11,OUT013,1888.748098
FDF41,OUT019,504.629794
FDH16,OUT045,1290.35369
NCQ50,OUT018,2885.017928
DRH23,OUT018,788.986316
DRJ37,OUT013,1909.607612
DRJ24,OUT027,5889.080896
FDY16,OUT035,3427.198842
FDQ27,OUT045,1905.006934
FDZ33,OUT045,1841.163372
FDF29,OUT045,2055.49105
FDA08,OUT049,2743.402268
FDG31,OUT046,1243.800954
FDE34,OUT019,502.226256
NCR30,OUT027,2038.692916
FDV33,OUT035,4077.738706
DRZ24,OUT018,1211.063568
NCL54,OUT035,2899.931848
FDR12,OUT049,2346.572152
NCC54,OUT046,4334.164918
DRN59,OUT013,867.117946
FDX50,OUT019,201.990404
FDV31,OUT027,4487.52529
NCA29,OUT027,5348.398032
FDW60,OUT049,2954.301076
FDX08,OUT017,3905.090108
DRD49,OUT013,3987.682598
FDD33,OUT046,3239.935934
FDW35,OUT013,789.598852
FDJ36,OUT017,1968.957024
FDV51,OUT035,4122.56702
FDW36,OUT046,1599.178362
FDH35,OUT046,1894.76693
NCS30,OUT027,3230.015514
FDN49,OUT017,577.142072
FDL08,OUT018,2795.12827
FDI09,OUT013,3694.417672
FDP19,OUT018,1944.83509
FDU21,OUT010,85.78833
NCP41,OUT045,1351.633922
FDY10,OUT013,1814.811008
FDP12,OUT018,450.320488
NCN26,OUT049,1830.45065
FDK44,OUT013,2878.359928
FDC28,OUT049,1421.056888
FDJ41,OUT027,6537.716572
NCT29,OUT035,1713.46959
NCH42,OUT019,558.646148
FDU60,OUT018,2937.223306
FDS02,OUT045,3669.876284
FDC51,OUT046,2746.15868
FDU03,OUT013,3339.399796
FDX39,OUT045,3528.194044
NCY05,OUT010,89.523468
NCL06,OUT027,5782.10681
FDD32,OUT035,1164.364356
NCN41,OUT045,1674.027598
NCX53,OUT049,2694.572496
FDU57,OUT019,240.180692
FDQ23,OUT046,2022.7004
FDQ52,OUT045,4932.539352
FDC14,OUT045,664.994382
FDY09,OUT035,3358.554862
FDQ28,OUT045,2354.448566
FDV25,OUT046,4760.183706
FDJ07,OUT035,2031.941704
DRB25,OUT049,1592.72676
FDK52,OUT019,689.848696000001
FDY52,OUT027,1511.705558
FDB28,OUT046,2482.528512
FDT36,OUT035,636.77112
FDV25,OUT017,4628.6416
NCN07,OUT027,3813.63582
FDC57,OUT017,2841.674348
FDQ03,OUT018,2858.24611
FDU23,OUT017,3164.307712
NCX41,OUT035,3460.335708
NCD06,OUT035,756.21564
FDW08,OUT045,2004.770406
NCU29,OUT017,2866.40216
NCE06,OUT013,1995.156254
FDV52,OUT010,262.012274
FDB02,OUT017,3035.129196
NCR18,OUT045,649.661007999999
FDK16,OUT049,1607.480888
NCQ29,OUT010,836.444539999999
FDZ01,OUT019,197.170012
FDW27,OUT035,2060.058438
FDD17,OUT018,3167.570132
FDW39,OUT013,2280.59803
DRH59,OUT045,954.444274
FDS52,OUT013,1142.71254
FDU40,OUT027,4652.823456
NCF54,OUT013,2253.320204
FDH46,OUT045,1439.872396
NCP14,OUT049,1995.655604
FDH50,OUT049,3609.581436
DRF15,OUT010,295.288958
FDV27,OUT027,2230.909376
NCJ06,OUT049,2149.981386
FDN02,OUT018,3755.118658
FDQ51,OUT049,747.92643
FDQ07,OUT017,4600.265204
FDS45,OUT049,2084.413402
NCJ06,OUT045,1970.874528
FDD36,OUT035,2002.946114
FDY25,OUT045,3192.198074
FDU52,OUT046,2395.854668
DRK47,OUT017,3797.85636
NCL30,OUT017,1825.22412
FDN22,OUT035,3738.979666
NCF30,OUT027,3649.369644
FDK03,OUT035,4283.331088
FDT45,OUT017,921.786784
NCC54,OUT027,5060.106632
FDP08,OUT018,2990.267592
FDU44,OUT046,2666.209416
DRG39,OUT035,780.963426
FDU32,OUT049,2087.808982
FDY27,OUT049,2846.6279
NCP54,OUT013,2098.927842
NCZ41,OUT049,1876.244374
DRL49,OUT013,1900.35965
FDI05,OUT018,1364.017802
FDY56,OUT045,5064.893734
DRC13,OUT013,1893.981286
NCV29,OUT017,3400.367102
FDR24,OUT049,1301.319416
FDZ34,OUT018,2712.93526
FDP37,OUT035,2127.384134
FDX08,OUT027,4802.095816
FDS57,OUT045,1809.11176
NCG18,OUT049,1862.502262
FDK25,OUT018,2741.218444
FDH53,OUT049,1292.737254
DRI59,OUT018,2915.092114
FDA52,OUT046,2171.10722
FDT20,OUT010,69.256516
FDE36,OUT019,416.364688
FDI24,OUT017,3226.453484
FDB28,OUT018,3081.628668
FDV11,OUT017,2710.285376
FDP01,OUT046,2251.096432
FDD34,OUT027,3759.959024
FDJ50,OUT027,1071.325464
FDZ44,OUT013,1740.46778
DRO59,OUT035,1243.687768
DRB48,OUT045,571.935516
FDR21,OUT018,2634.424124
NCE42,OUT010,690.088384
FDO23,OUT046,1438.147974
NCE30,OUT018,3130.718102
FDQ22,OUT035,564.56511
FDY01,OUT045,1654.439762
FDS08,OUT017,2140.84661
FDG28,OUT018,2516.910424
FDQ51,OUT018,674.635166
FDB05,OUT017,4499.915828
FDO56,OUT049,1850.238226
FDE02,OUT018,1108.230758
FDN45,OUT017,3378.622074
FDS09,OUT013,721.207876
NCA54,OUT018,2801.71969
FDP09,OUT010,484.609188
FDC53,OUT045,1139.862916
NCM55,OUT017,3062.373732
FDL09,OUT018,2401.287596
FDA11,OUT019,233.775696
FDA50,OUT045,1552.838682
FDC23,OUT017,3467.945802
FDE22,OUT049,2311.883972
FDD23,OUT046,3569.546882
NCA29,OUT049,3227.312366
FDK38,OUT046,2344.18193
DRC13,OUT046,2275.13847
NCP43,OUT049,2762.0713
FDX28,OUT049,1375.57609
FDF08,OUT049,1418.167316
FDZ33,OUT046,2290.371974
FDD10,OUT049,2443.41942
FDO58,OUT017,2424.537332
FDI50,OUT017,3496.54857
FDO58,OUT045,2730.286008
FDX08,OUT013,4311.880592
NCK17,OUT010,58.270816
FDF39,OUT035,5064.993604
FDU45,OUT010,251.053206
NCJ18,OUT018,2040.31081
DRC27,OUT019,575.371044
DRC25,OUT035,1679.773452
FDU59,OUT035,1935.034514
FDU28,OUT035,3479.817016
NCP30,OUT046,680.041462
FDB39,OUT018,719.849644
FDE41,OUT013,1402.694124
DRH11,OUT010,169.352888
FDA58,OUT045,3162.556658
FDU50,OUT046,1345.368744
FDM34,OUT013,1989.237292
FDM44,OUT027,2432.746646
FDR39,OUT045,2539.687442
FDM25,OUT045,2839.33739
FDQ49,OUT049,1997.659662
DRH25,OUT018,861.605122
FDM09,OUT027,3706.182358
FDL44,OUT019,505.64181
NCR42,OUT018,400.651808
DRL59,OUT046,814.945858
FDX43,OUT013,2459.718204
DRK47,OUT010,568.673096
FDU48,OUT018,1381.26868
FDY12,OUT045,838.428624000001
NCN43,OUT018,1711.751826
NCM55,OUT018,2226.774758
FDQ21,OUT027,3495.643082
FDX13,OUT035,4039.082358
NCK30,OUT027,5399.531472
FDG20,OUT049,2335.087102
DRG27,OUT017,794.612326
FDY14,OUT018,4156.82243
FDP59,OUT035,1723.603066
FDU60,OUT017,3642.405376
NCC18,OUT019,442.131148
DRJ39,OUT017,4939.5702
FDS07,OUT049,2190.41542
FDM08,OUT027,6144.974468
FDP51,OUT045,2224.451116
FDU16,OUT035,1611.528952
FDH12,OUT013,1909.041682
DRE48,OUT010,473.596856
NCL42,OUT027,7938.060422
FDR21,OUT045,2685.391114
NCW29,OUT035,1836.982148
FDO11,OUT013,5130.601536
NCM31,OUT049,2050.644026
FDV35,OUT019,234.587972
FDF58,OUT017,843.109198
NCE43,OUT049,2917.329202
FDA02,OUT035,2672.348092
DRL37,OUT010,123.732272
